STT,Tên bài hát,Chủ đề,Chủ đề con,Tone,Nhịp,Audio tham khảo,Thánh Ca - Hosanna Việt Nam 1-105
1,A-ba Chúa trên cao,1,b,Am,4/4,Aba Chúa trên cao - YouTube,
2,Tôn vinh Chiên Con,1,b,G,4/4,Ehre dem Lamm - YouTube,
3,Cùng vui nhóm,3,a,F,4/4,"Wir versammeln uns vor dir, o großer Gott",
4,Xin Cha hãy chiếu ánh sáng,1,a,A,4/4,Shine Jesus Shine (feat. Jens) | Acoustica - Mandolin - YouTube,
5,Ngài là Vua,1,b,G,2/4,"He Is Lord, He Is Lord! He Is Risen From The Dead Song Lyrics Video - Divine Hymns - YouTube",
6,Điều cao quý nhất,1,d,D,4/4,"Das Höchste meines Lebens ist dich kennen Herr, Anbetung - YouTube",
7,Kìa thật phước hạnh,3,a,Dm,4/4,https://quangharvest.com/hosanna-vn-1-100,
8,Xin dâng,1,b,F,4/4,"""Hab Dank von Herzen Herr"" SPONTAN-theater - YouTube",
9,Bình an Vua,1,b,A,4/4,"Friedefürst, Wunderrat, Text/Lyrics - YouTube",
10,Tôn vinh Chúa trong mỗi lúc,1,b,Dm,4/4,Ich will loben denn Herrn allezeit (Kanon) | Viyuda leolam teshev,
11,Vì Thần Linh và Hội Thánh,3,a,Gm,4/4,Denn der Geist und die Braut - YouTube,
12,Hosanna,1,b,G,4/4,Hosanna In The Highest | Performed By Vineyard | 4k Video | HQ - YouTube,Hosanna (In The Highest) /We Cry Hosanna (Medley) - YouTube
13,Ngài thật là Vua đời đời,1,b,Am,4/4,Ngài Thật Là Vua Đời Đời - YouTube,
14,"Phước hạnh, phước hạnh",1,d,Dm,4/4,"Fröhlich, fröhlich ist das Volk - YouTube",
15,"Ha-lê-lu-gia, Ha-lê-lu-gia",3,a,Em,4/4,https://quangharvest.com/hosanna-vn-1-100,
16,Nào cùng cất tiếng hoan ca,1,b,E,4/4,Come Let Us Sing - YouTube,https://quangharvest.com/hosanna-vn-1-100
17,Hát như Đa-vít,2,,Em,4/4,When the Spirit of the Lord comes upon my heart - I will dance like David danced - Praise & Worship - YouTube,
18,Thi Thiên 150,1,b,D,4/4,https://quangharvest.com/hosanna-vn-1-100,
19,Vua đời đời,1,b,G,4/4,Majestät herrliche Majestät lyrics - YouTube,"Majestät, herrliche Majestät - YouTube"
20,Trọn tất cả sự đầy dẫy đến từ Chúa,1,b,D,4/4,All die Fülle - YouTube,
21,Cám ơn Cha,2,,D,4/4,"""All die Fülle ist in dir O' Herr"" Lied bei den GlaubenstagenLIED - YouTube",from 00:35
22,Thuộc duy Chúa sự vinh diệu,1,b,C,4/4,Dir gebührt die Ehre - YouTube,Dir gebührt die Ehre - YouTube
23,Thi Thiên 104:31-33,1,b,F,4/4,Die Herrlichkeit des Herrn bleibe ewiglich [Christliche Lieder] - YouTube,"Die Herrlichkeit des Herrn I Gitta Leuschner, Keith Chrysler - YouTube"
24,Hãy tôn vinh Danh Thánh Ngài,1,b,A,4/4,Marty Nystrom- The Celebration Song (Praise Medley) (Hosanna! Music) - YouTube,The Celebration Song - YouTube
25,Ma-thi-ơ 18:20,3,a,F,4/4,Lied: Wo zwei oder drei in meinem Namen versammelt sind (Kanon EG 568) - YouTube,
26,"Hỡi dân Chúa, dâng lời ca!",3,a,Am,4/4,Sing For Joy In The Lord - YouTube,
27,Ngợi Vua trên muôn vua,1,b,Fm,4/4,"King Of Kings And Lord Of Lords, Glory Hallelujah Song Lyrics Video - Divine Hymns - YouTube",King of Kings and Lord of Lords with subtitles
28,Êm-ma-nu-ên,1,a,C,4/4,His Name Is Called Emmanuel Song Lyrics | Christian Hymnal | Divine Hymns - YouTube,Emmanuel - YouTube
29,Nguyện cầu Cha,1,a,F,4/4,"Herr, wir bitten: Komm und segne uns - YouTube",Herr wir bitten komm und segne uns - Bandbegleitung - YouTube
30,Con tôn cao Cha,1,b,E,4/4,Du bist der Höchste - YouTube,Outbreakband - Wir erheben dich - YouTube
31,Hãy ca tụng Chúa chúng ta,1,b,G,4/4,https://www.youtube.com/watch?v=cMABar5i7Ao,
32,Jesus ơi! Con chính là tội nhân,1,c,F,3/4,https://quangharvest.com/hosanna-vn-1-100,
33,Cùng nhau ta vui hoan ca,1,b,D,4/4,"Ich will singen von der Gnade meines Herrn für immer - Cover - Nach Ps.89,2 - YouTube",
34,Hãy vỗ tay vui,1,b,Em,4/4,Hãy Vỗ Tay Vui Reo Mừng Lên Lyrics - YouTube,
35,Cùng nhau ca khen ngợi Chúa,2,,E,4/4,Gepriesen sei der Herr - YouTube,Gepriesen sei der Herr - YouTube Gepriesen sei der Herr / Nordhorn am 20.11.2022 - YouTube
36,Hướng về Jesus,2,,F,4/4,"Jesus, wir sehen auf dich - YouTube",
37,Hallelujah! Amen,1,b,G,4/4,https://quangharvest.com/hosanna-vn-1-100,
38,Này ngày hôm nay,2,,F,4/4,Medley: Dies ist der Tag dem der Herr gemacht,https://quangharvest.com/hosanna-vn-1-100
39,"Jesus, Jesus!",2,,C,4/4,https://quangharvest.com/hosanna-vn-1-100,
40,Ê-sai 52:7,3,a,Bb,4/4,https://quangharvest.com/hosanna-vn-1-100,OUR GOD REIGNS
