STT,Tên bài hát,Tone,Nhịp,Chủ đề,Chủ đề con,Audio tham khảo
1,Nhân lên,D,4/4,1,d,
2,Mọi suy tôn thuộc Vua,G,4/4,1,b,
3,Hát cho người hầu việc Chúa,Am,4/4,2,,
4,Việc Chúa làm,G,4/4,2,,
5,Bởi Ta yêu con,C,4/4,3,b,
6,Thánh Linh quyền năng,G,4/4,1,a,
7,Cháy lên lửa Linh,Bm,4/4,1,d,
8,Bước đi trong khải tượng,G,4/4,1,d,
9,Sứ mạng,F,4/4,1,d,
10,Bước vào nơi Chí Thánh,Em,4/4,1,b,
11,Chào Chúa Thánh Linh,F,2/4,1,a,
12,Muôn thu không đổi thay,Bm,4/4,1,b,
13,Giê-xu Vua trị vì,D,4/4,1,b,
14,"Giê-xu, yêu Ngài hơn cả mọi điều",D,4/4,1,b,
15,Giê-xu muôn đời,G,4/4,2,,
16,Chúng con đây,F,4/4,,,
17,Với tất cả vinh quang,G,4/4,1,b,
18,Diệu thay là Chúa ta,G,4/4,1,b,
19,Chúa được tôn cao,C,4/4,1,b,
20,Lòng sướng vui chúc tán,A ,4/4,2,,
21,Duy Chúa đáng ca ngợi,C,4/4,1,b,
22,Vượt trên tất cả,D/E,4/4,4,b,
23,Diễm tình ca,G,4/4,4,d,
24,Yêu thương và hiệp một,C,2/4,4,c,
25,Thanh niên truyền giáo,G,4/4,3,a,
26,Giọt nước mắt cho những linh hồn,Dm,4/4,1,a,
27,Quyền năng cứu rỗi,D,4/4,4,b,
28,Thần Linh của Chúa,Em,4/4,1,a,
29,Nguyện cầu Thánh Linh Ngài,G,4/4,1,a,
30,Đứng vào nơi sứt mẻ,G,4/4,1,a,
31,Tôi cảm ơn Cứu Chúa của tôi,A,4/4,2,,
32,Ca khen danh Giê-hô-va,Dm,2/4,1,b,
33,Chỉ có một Chúa Thánh Linh,Em,2/4,1,a,
34,Cho đến mãi mãi,A,4/4,1,c,
35,Rao ra năm bình an,A,4/4,3,a,
36,Ngàn lời chúc tán,C,4/4,1,a,
37,Đấng sống muôn đời (Vui thay...),E,4/4,1,b,
38,Con khao khát Ngài,Em,4/4,1,a,
39,Phước cho nhân loại,C,2/4,4,a,
40,Tiệc Thánh,Am,6/8,4,g,
41,Bởi ân điển Ngài,C/D,4/4,2,,
42,Lòng yêu Chúa biết bao,G,4/4,2,,
43,Chúc tôn Vua vinh hiển (Cửa đời đời...),Em,4/4,1,b,
44,Hỡi các dân,Am,4/4,1,b,
45,Bài ca ngợi khen (Hãy giơ tay lên...),Em,4/4,1,b,
46,Ngợi khen Chúa đời đời (Sức mới đến từ...),G,4/4,1,b,
47,Trong nơi Chí Thánh,F/G,4/4,1,b,
48,Vì duy chính Chúa,G,4/4,1,b,
49,Bình đất vỡ tan,Dm,4/4,1,c,
50,Ngài là Giê-xu,Am,4/4,1,b,
51,Tôi sẽ ngợi ca,F,4/4,2,,
52,Ơn càng thêm ơn,F,4/4,2,,
53,Lời trái tim,G,4/4,4,d,
54,Bài ca mừng đôi lứa,C,4/4,4,d,
55,Cảm ơn em đã đến,C,4/4,4,d,
56,Không gian tươi sáng,G,3/4,4,d,
57,Được phước và được yêu,G,4/4,2,,
58,Hỡi môn đồ trung tín,A,4/4,3,a,
59,Giê-hô-va sẽ xây Giê-ru-sa-lem,Bm,4/4,1,b,
60,Thánh Linh tuôn tràn nơi đây,A,4/4,1,a,
61,Ta hi sinh vì con hết,C,6/8,4,g,
62,Hát khen Giê-xu,Bm,4/4,1,b,
63,Thi Thiên 150,Bm,4/4,1,b,
64,Này chàng trai của cha,C,4/4,4,e,
65,Xây nhà trên đá,G,4/4,4,c,
66,Sống trong ý Chúa ,C,3/4,5,,
67,Đấng sống muôn đời,A,4/4,1,b,
68,Hát cho người tôi yêu,G,4/4,4,d,
69,Ân điển,Bb,4/4,2,,
70,Nào ai như Giê-xu,G,4/4,1,b,
71,Hát khen Giê-xu,Bm,4/4,1,b,
72,Ngài là Chúa của con,A,4/4,2,,
73,Chúa Đấng chiến thắng,Am,4/4,1,b,
74,Đấng mở đường,Bm,4/4,1,b,
75,Đấng sống muôn đời,D,4/4,1,b,
76,Trong danh Chúa Giê-xu,Dm,4/4,1,b,
77,Cứu Chúa hạ sinh,Am,2/4,4,a,
78,Phước cho nhân loại,C,2/4,4,a,
79,Bài ca máng cỏ,D,3/4,4,a,
80,Đêm yên lặng,C,6/8,4,a,
81,Vì yêu Ngài đến,E,4/4,4,a,
82,Đêm thánh,C,4/4,4,a,
83,Con Ma-ri là Chúa tôi,G,4/4,4,a,
84,Món quà,C,4/4,4,a,
85,Tình yêu vững bền,F,4/4,4,d,
86,Mừng duyên lứa đôi,C,4/4,4,d,
87,Lời chúc cho hai người yêu nhau,C,4/4,4,d,
88,Hát mừng hôn lễ,C,4/4,4,d,
89,"Đừng sợ hãi, chỉ tin mà thôi",D,3/4,5,,
90,Bài ca mừng đôi lứa,C,4/4,4,d,
91,Tiệc thánh,Am,6/8,4,g,
92,Nầy ngày hôm nay,,,,,
