STT,Tên bài hát,Tone,Nhịp,Chủ đề,Chủ đề con,Tuyển tập,Lời,Nhạc,Audio tham khảo,Lyric,Image
1,Nhân lên,D,4/4,1,d,Bài tự do,,,,,
2,Mọi suy tôn thuộc Vua,G,4/4,1,b,Bài tự do,,,,,
3,Hát cho người hầu việc Chúa,Am,4/4,2,,Bài tự do,,,,,
4,Việc Chúa làm,G,4/4,2,,Bài tự do,,,,,
5,Bởi Ta yêu con,C,4/4,3,b,Bài tự do,,,,,
6,Thánh Linh quyền năng,G,4/4,1,a,Bài tự do,,,,,
7,Cháy lên lửa Linh,Bm,4/4,1,d,Bài tự do,,,,,
8,Bước đi trong khải tượng,G,4/4,1,d,Bài tự do,,,,,
9,Sứ mạng,F,4/4,1,d,Bài tự do,,,,,
10,Bước vào nơi Chí Thánh,Em,4/4,1,b,Bài tự do,,,,,
11,Chào Chúa Thánh Linh,F,2/4,1,a,Bài tự do,,,,,
12,Muôn thu không đổi thay,Bm,4/4,1,b,Bài tự do,,,,,
13,Giê-xu Vua trị vì,D,4/4,1,b,Bài tự do,,,,,
14,"Giê-xu, yêu Ngài hơn cả mọi điều",D,4/4,1,b,Bài tự do,,,,,
15,Giê-xu muôn đời,G,4/4,2,,Bài tự do,,,,,
16,Chúng con đây,F,4/4,,,Bài tự do,,,,,
17,Với tất cả vinh quang,G,4/4,1,b,Bài tự do,,,,,
18,Diệu thay là Chúa ta,G,4/4,1,b,Bài tự do,,,,,
19,Chúa được tôn cao,C,4/4,1,b,Bài tự do,,,,,
20,Lòng sướng vui chúc tán,A ,4/4,2,,Bài tự do,,,,,
21,Duy Chúa đáng ca ngợi,C,4/4,1,b,Bài tự do,,,,,
22,Vượt trên tất cả,D/E,4/4,4,b,Bài tự do,,,,,
23,Diễm tình ca,G,4/4,4,d,Bài tự do,,,,,
24,Yêu thương và hiệp một,C,2/4,4,c,Bài tự do,,,,,
25,Thanh niên truyền giáo,G,4/4,3,a,Bài tự do,,,,,
26,Giọt nước mắt cho những linh hồn,Dm,4/4,1,a,Bài tự do,,,,,
27,Quyền năng cứu rỗi,D,4/4,4,b,Bài tự do,,,,,
28,Thần Linh của Chúa,Em,4/4,1,a,Bài tự do,,,,,
29,Nguyện cầu Thánh Linh Ngài,G,4/4,1,a,Bài tự do,,,,,
30,Đứng vào nơi sứt mẻ,G,4/4,1,a,Bài tự do,,,,,
31,Tôi cảm ơn Cứu Chúa của tôi,A,4/4,2,,Bài tự do,,,,,
32,Ca khen danh Giê-hô-va,Dm,2/4,1,b,Bài tự do,,,,,
33,Chỉ có một Chúa Thánh Linh,Em,2/4,1,a,Bài tự do,,,,,
34,Cho đến mãi mãi,A,4/4,1,c,Bài tự do,,,,,
35,Rao ra năm bình an,A,4/4,3,a,Bài tự do,,,,,
36,Ngàn lời chúc tán,C,4/4,1,a,Bài tự do,,,,,
37,Đấng sống muôn đời (Vui thay...),E,4/4,1,b,Bài tự do,,,,,
38,Con khao khát Ngài,Em,4/4,1,a,Bài tự do,,,,,
39,Phước cho nhân loại,C,2/4,4,a,Bài tự do,,,,,
40,Tiệc Thánh,Am,6/8,4,g,Bài tự do,,,,,
41,Bởi ân điển Ngài,C/D,4/4,2,,Bài tự do,,,,,
42,Lòng yêu Chúa biết bao,G,4/4,2,,Bài tự do,,,,,
43,Chúc tôn Vua vinh hiển (Cửa đời đời...),Em,4/4,1,b,Bài tự do,,,,,
44,Hỡi các dân,Am,4/4,1,b,Bài tự do,,,,,
45,Bài ca ngợi khen (Hãy giơ tay lên...),Em,4/4,1,b,Bài tự do,,,,,
46,Ngợi khen Chúa đời đời (Sức mới đến từ...),G,4/4,1,b,Bài tự do,,,,,
47,Trong nơi Chí Thánh,F/G,4/4,1,b,Bài tự do,,,,,
48,Vì duy chính Chúa,G,4/4,1,b,Bài tự do,,,,,
49,Bình đất vỡ tan,Dm,4/4,1,c,Bài tự do,,,,,
50,Ngài là Giê-xu,Am,4/4,1,b,Bài tự do,,,,,
